"id","description","last_updated"
"320221","MILK, 2% ","2019-04-01"
"320222","Milk, 2%","2019-04-01"
"320223","Milk, 2%","2019-04-01"
"320224","Milk, 2%","2019-04-01"
"320225","Milk, 2%","2019-04-01"
"320226","Milk, 2%","2019-04-01"
"320227","Milk, 2%","2019-04-01"
"320228","MILK, 2% (WAVE 22E)","2019-04-01"
"320229","MILK, 2% (WAVE 22E)","2019-04-01"
"320230","MILK, 2% (WAVE 22E)","2019-04-01"
"320231","MILK, 2% (WAVE 22E)","2019-04-01"
"320232","MILK, 2% ","2019-04-01"
"320233","MILK, 2% ","2019-04-01"
"320234","MILK, 2% ","2019-04-01"
"320235","MILK, 2% ","2019-04-01"
"320236","MILK, 2% ","2019-04-01"
"320237","MILK, 2% ","2019-04-01"
"320238","MILK, 2% ","2019-04-01"
"320239","MILK, 2% ","2019-04-01"
"320240","MILK, 2% ","2019-04-01"
"320241","MILK, 2% ","2019-04-01"
"320242","MILK, 2% ","2019-04-01"
"320243","MILK, 2% ","2019-04-01"
"320244","MILK, 2% ","2019-04-01"
"320245","Milk, 2%","2019-04-01"
"320246","Milk, 2%","2019-04-01"
"320247","Milk, 2%","2019-04-01"
"320248","Milk, 2%","2019-04-01"
"320249","Milk, 2%","2019-04-01"
"320250","Milk, 2%","2019-04-01"
"320251","MILK, 2% (WAVE 22E)","2019-04-01"
"320252","MILK, 2% (WAVE 22E)","2019-04-01"
"320253","MILK, 2% (WAVE 22E)","2019-04-01"
"320254","MILK, 2% (WAVE 22E)","2019-04-01"
"320255","MILK, 2% ","2019-04-01"
"320256","MILK, 2% ","2019-04-01"
"320257","MILK, 2% ","2019-04-01"
"320258","MILK, 2% ","2019-04-01"
"320259","MILK, 2% ","2019-04-01"
"320260","MILK, 2% ","2019-04-01"
"320261","MILK, 2% ","2019-04-01"
"320262","MILK, 2% ","2019-04-01"
"320263","MILK, 2% ","2019-04-01"
"320264","MILK, 2% ","2019-04-01"
"320265","MILK, 2% ","2019-04-01"
"320266","MILK, 2% ","2019-04-01"
"320267","MILK, 2% ","2019-04-01"
"320268","Milk, 2%","2019-04-01"
"320269","Milk, 2%","2019-04-01"
"320270","Milk, 2%","2019-04-01"
"320271","Milk, 2%","2019-04-01"
"320272","Milk, 2%","2019-04-01"
"320273","MILK, 2% (WAVE 22E)","2019-04-01"
"320274","MILK, 2% (WAVE 22E)","2019-04-01"
"320275","MILK, 2% (WAVE 22E)","2019-04-01"
"320276","MILK, 2% (WAVE 22E)","2019-04-01"
"320277","MILK, 2% ","2019-04-01"
"320278","MILK, 2% ","2019-04-01"
"320279","MILK, 2% ","2019-04-01"
"320280","MILK, 2% ","2019-04-01"
"320281","MILK, 2% ","2019-04-01"
"320282","MILK, 2% ","2019-04-01"
"320283","MILK, 2% ","2019-04-01"
"320284","MILK, 2% ","2019-04-01"
"320285","MILK, 2% ","2019-04-01"
"320286","MILK, 2% ","2019-04-01"
"320287","MILK, 2% ","2019-04-01"
"320288","MILK, 2% ","2019-04-01"
"320289","MILK, 2% ","2019-04-01"
"320290","Milk, 2%","2019-04-01"
"320291","Milk, 2%","2019-04-01"
"320292","Milk, 2%","2019-04-01"
"320293","Milk, 2%","2019-04-01"
"320294","Milk, 2%","2019-04-01"
"320295","Milk, 2%","2019-04-01"
"320296","MILK, 2% (WAVE 22E)","2019-04-01"
"320297","MILK, 2% (WAVE 22E)","2019-04-01"
"320298","MILK, 2% (WAVE 22E)","2019-04-01"
"320299","MILK, 2% (WAVE 22E)","2019-04-01"
"320300","MILK, 2% ","2019-04-01"
"320301","MILK, 2% ","2019-04-01"
"320302","MILK, 2% ","2019-04-01"
"320303","MILK, 2% ","2019-04-01"
