"food_nutrient_id","adjusted_amount","lab_method_id","nutrient_name"
"2202501","88.4","1027","Moisture - Forced Air Oven"
"2202502","0.58","1018","Nitrogen - Kjeldahl"
"2202503","0.03","1045","25 Hydroxy Vitamin D "
"2202504","0.1","1045","Total Vitamin D2 (mcg units)"
"2202505","1.14","1045","Total Vitamin D3 (mcg units)"
"2202506","8.18","1061","Cholesterol"
"2202507","23.1","1071","Iodine"
"2202508","0.63","1022","Ash"
"2202509","1.92","1019","Fat - Mojonnier"
"2202510","89.0","1027","Moisture - Forced Air Oven"
"2202511","0.53","1018","Nitrogen - Kjeldahl"
"2202512","0.03","1045","25 Hydroxy Vitamin D "
"2202513","0.1","1045","Total Vitamin D2 (mcg units)"
"2202514","1.29","1045","Total Vitamin D3 (mcg units)"
"2202515","7.74","1061","Cholesterol"
"2202516","50.5","1071","Iodine"
"2202517","0.049","1042","10:0 Decanoic (Capric)"
"2202518","","1042","11:0 Undecanoic"
"2202519","0.058","1042","12:0 Dodecanoic (Lauric)"
"2202520","0.001","1042","12:1 Dodecenoic"
"2202521","0.188","1042","14:0 Tetradecanoic (Myristic)"
"2202522","0.016","1042","14:1 Tetradecenoic (Myristoleic)"
"2202523","0.003","1042","14:1 trans-Tetradecenoic"
"2202524","0.02","1042","15:0 Pentadecanoic"
"2202525","","1042","15:1 Pentadecenoic"
"2202526","0.527","1042","16:0 Hexadecanoic (Palmitic)"
"2202527","0.03","1042","16:1 Hexadecenoic (Palmitoleic)"
"2202528","0.005","1042","16:1 trans-Hexadecenoic"
"2202529","0.01","1042","17:0 Heptadecanoic (Margaric)"
"2202530","0.003","1042","17:1 Heptadecenoic (Margaroleic)"
"2202531","0.181","1042","18:0 Octadecanoic (Stearic)"
"2202532","0.338","1042","18:1 Octadecenoic (incl. Oleic)"
