"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"320354","Beef, eye of round roast, raw (ER37-R-5)","","","","","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"320355","Beef, eye of round steak, raw (ES36-R-5) ","","","","","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"320358","Beef, eye of round roast, raw (ER37-R-10)","","","","","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"320359","Beef, eye of round roast, raw (ER37-R-11)","","","","","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"320360","Beef, eye of round roast, raw (ER37-R-16)","","","","","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320361","Beef, eye of round roast, raw (ER37-R-17)","","","","","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320362","Beef, eye of round roast, raw (ER37-R-18)","","","","","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320363","Beef, eye of round roast, raw (ER37-R-22)","","","","","Point of Production","","","Corpus Christi","Sam Kane Beef Processors","TX",""
"320364","Beef, eye of round roast, raw (ER37-R-23)","","","","","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"320365","Beef, eye of round roast, raw (ER37-R-28)","","","","","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"320366","Beef, eye of round roast, raw (ER37-R-29)","","","","","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"320367","Beef, eye of round roast, raw (ER37-R-35)","","","","","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"320368","Beef, eye of round roast, raw (ER37-R-36)","","","","","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"320369","Beef, eye of round steak, raw (ES36-R-10) ","","","","","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"320370","Beef, eye of round steak, raw (ES36-R-11) ","","","","","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"320371","Beef, eye of round steak, raw (ES36-R-16) ","","","","","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320372","Beef, eye of round steak, raw (ES36-R-17) ","","","","","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320373","Beef, eye of round steak, raw (ES36-R-18) ","","","","","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320374","Beef, eye of round steak, raw (ES36-R-22) ","","","","","Point of Production","","","Corpus Christi","Sam Kane Beef Processors","TX",""
"320375","Beef, eye of round steak, raw (ES36-R-23) ","","","","","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"320376","Beef, eye of round steak, raw (ES36-R-28) ","","","","","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"320377","Beef, eye of round steak, raw (ES36-R-29) ","","","","","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"320378","Beef, eye of round steak, raw (ES36-R-35) ","","","","","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"320379","Beef, eye of round steak, raw (ES36-R-36) ","","","","","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"320414","TOMATOES, GRAPE","","","NJ1","","","01451083","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190037759"
"320415","TOMATOES, GRAPE","","","NJ1","","","01451087","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190037759"
"320419","TOMATOES, GRAPE","","1","AZ1","","","","","TUCSON","BASHAS MARKET","AZ","741243002894"
"320420","TOMATOES, GRAPE","","1","AZ1","","","","","TUCSON","BASHAS MARKET","AZ","741243002894"
"320424","TOMATOES, GRAPE","","","GA1","","","","","LOCUST GROVE","INGLES SUPERMARKET","GA","33383655857"
"320425","TOMATOES, GRAPE","","","GA1","","","","","LOCUST GROVE","INGLES SUPERMARKET","GA","33383655857"
"320429","TOMATOES, GRAPE","","1","IN1","","","","","NEWBURGH","SCHNUCK MARKET","IN","716310521844"
"320430","TOMATOES, GRAPE","","1","IN1","","","","","NEWBURGH","SCHNUCK MARKET","IN","716310521844"
"320434","TOMATOES, GRAPE","","","PA1","","","","","PITTSBURGH","SHOP N SAVE","PA","33383655857"
"320435","TOMATOES, GRAPE","","","PA1","","","","","PITTSBURGH","SHOP N SAVE","PA","33383655857"
"320439","TOMATOES, GRAPE","","1","NE1","","","","","HASTINGS","WALMART SUPERCENTER","NE","716310961848"
"320440","TOMATOES, GRAPE","","1","NE1","","","","","HASTINGS","WALMART SUPERCENTER","NE","716310961848"
"320444","TOMATOES, GRAPE","","1","NE1","","","","","HASTINGS","WALMART SUPERCENTER","NE","716310961848"
"320445","TOMATOES, GRAPE","","1","NE1","","","","","HASTINGS","WALMART SUPERCENTER","NE","716310961848"
"320446","TOMATOES, GRAPE","","1","NC1","","","","","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","848571000070"
"320447","TOMATOES, GRAPE","","1","NC1","","","","","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","848571000070"
"320452","TOMATOES, GRAPE","","1","AZ1","","","","","TUCSON","BASHAS MARKET","AZ","741243002894"
"320453","TOMATOES, GRAPE","","1","AZ1","","","","","TUCSON","BASHAS MARKET","AZ","741243002894"
"320454","TOMATOES, GRAPE","","1","IN1","","","","","NEWBURGH","SCHNUCK MARKET","IN","716310521844"
"320455","TOMATOES, GRAPE","","1","IN1","","","","","NEWBURGH","SCHNUCK MARKET","IN","716310521844"
"320461","TOMATOES, GRAPE","","","NJ1","","","0145108","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190037759"
"320462","TOMATOES, GRAPE","","","NJ1","","","0145108","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190037759"
"320463","TOMATOES, GRAPE","","","GA1","","","","","LOCUST GROVE","INGLES SUPERMARKET","GA","33383655857"
"320464","TOMATOES, GRAPE","","","GA1","","","","","LOCUST GROVE","INGLES SUPERMARKET","GA","33383655857"
"320477","TOMATOES, GRAPE","","","CA1","","","","","PALMDALE ","SAMS CLUB","CA","816239012321"
"320481","TOMATOES, GRAPE","","","PA1","","","","","PITTSBURGH","GIANT EAGLE MARKET","PA","33383655857"
"320482","TOMATOES, GRAPE","","","PA1","","","","","PITTSBURGH","SHOP N SAVE","PA","33383655857"
"320486","TOMATOES, GRAPE","","1","KY1","","","","","HARRODSBURG","WALMART SUPERCENTER","KY","848571000070"
"320490","TOMATOES, GRAPE","","1","NC1","","","","","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","848571000070"
"320491","TOMATOES, GRAPE","","1","NC1","","","","","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","848571000070"
"320495","TOMATOES, GRAPE","","1","IA","","","","","ESTHERVILLE ","FAREWAY STORE","IA","33383655857"
"320496","TOMATOES, GRAPE","","1","IA","","","","","ESTHERVILLE ","FAREWAY STORE","IA","33383655857"
"320500","TOMATOES, GRAPE","","","TX1","","","","","HOUSTON","RANDALLS FOOD MARKET","TX","606105437705"
"320501","TOMATOES, GRAPE","","","TX1","","","","","HOUSTON","RANDALLS FOOD MARKET","TX","606105437705"
"320508","TOMATOES, GRAPE","","","CA2","","","","","BONITA","VONS MARKET","CA","729062118408"
"320509","TOMATOES, GRAPE","","","CA2","","","","","BONITA","VONS MARKET","CA","729062118408"
"320513","TOMATOES, GRAPE","","1","KY1","","","","","HARRODSBURG","WALMART SUPERCENTER","KY","848571000070"
"320514","TOMATOES, GRAPE","","1","KY1","","","","","HARRODSBURG","WALMART SUPERCENTER","KY","848571000070"
"320515","TOMATOES, GRAPE","","","CA2","","","","","BONITA","VONS MARKET","CA","729062118408"
"320516","TOMATOES, GRAPE","","","CA2","","","","","BONITA","VONS MARKET","CA","729062118408"
"321362","SALT, MORTON, IODIZED","","","CA1","","","HU18028003","","PALMDALE","WALMART","CA","24600010030"
"321368","SALT, MORTON, IODIZED","","","TX1","","","GS18080008","","HOUSTON","HEB","TX","24600010030"
"321374","SALT, GREAT VALUE, IODIZED","2023-03-16","","CA1","","","1W0758X","","PALMDALE","WALMART","CA","78742353388"
"321380","SALT, HEB IODIZED","2023-03-01","","TX1","","","C8TB26","","HOUSTON","HEB","TX","41220266937"
"321385","SALT, MORTON, IODIZED","","","NE1","","","HU17257011","","HASTINGS","WALMART","NE","24600010030"
"321390","SALT, MORTON, IODIZED","","","NC1","","","SS17348043","","ROANOKE RAPIDS","FOOD LION STORE","NC","24600010030"
"321395","SALT, MORTON, IODIZED","","","IN1","","","ILU18052003","","NEWBURGH","SCHNUCK MARKET","IN","24600010030"
"321401","SALT, MORTON, IODIZED","","","GA1","","","S518010016","","LOCUST GROVE","INGLES","GA","24600010030"
"321407","SALT, LAURA LYNN, IODIZED","","","GA1","","","2W009 8 X","","LOCUST GROVE","INGLES","GA","86854002964"
"321413","SALT, ESSENTIAL EVERYDAY, IODIZED","2022-10-19","","PA1","","","1W292 7 -","","PITTSBURGH","SHOP N SAVE","PA","41303019580"
"321418","SALT, MORTON, IODIZED","","","CA2","","","RI18030009","","BONITA","VONS MARKET","CA","24600010030"
