"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"1833260","332791","","","Ontology name for source","vegetable food product"
"1833259","332791","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001262"
"1833258","332791","","","FoodOn Ontology name for FDC item","olive (stuffed with pimiento)"
"1833257","332791","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03307143"
"1832776","332791","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832775","332791","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/4146"
"1833028","333008","","","Ontology name for source",""
"1833027","333008","","","Ontology ID for source",""
"1833026","333008","","","FoodOn Ontology name for FDC item","oatmeal raisin cookie"
"1833025","333008","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_00003294"
"1832667","333008","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832666","333008","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"1833352","333281","","","Ontology name for source","vegetable food product"
"1833351","333281","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001261"
"1833350","333281","","","FoodOn Ontology name for FDC item","tomato (diced, canned)"
"1833349","333281","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03304885"
"1832818","333281","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832817","333281","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/4081"
"1833072","333374","","","Ontology name for source","fish food product"
"1833071","333374","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001248"
"1833070","333374","","","FoodOn Ontology name for FDC item","haddock (raw)"
"1833069","333374","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03308024"
"1832689","333374","","","NCBI Taxon Parent","http://purl.bioontology.org/ontology/NCBITAXON/33154"
"1832688","333374","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/8056"
"1833076","333476","","","Ontology name for source","fish food product"
"1833075","333476","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001249"
"1833074","333476","","","FoodOn Ontology name for FDC item","pollock (raw)"
"1833073","333476","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03301079"
"1832691","333476","","","NCBI Taxon Parent","http://purl.bioontology.org/ontology/NCBITAXON/33154"
"1832690","333476","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/8059"
"5580","333476","0","1000","","Pollock"
"1833080","334194","","","Ontology name for source","fish food product"
