"fdc_id","fdc_id_of_sample_food"
"320206","320203"
"320207","320203"
"320208","320203"
"320209","320203"
"320212","320210"
"320213","320210"
"320214","320210"
"320215","320210"
"320216","320210"
"320217","320210"
"320218","320210"
"320219","320210"
"320220","320210"
"320221","320210"
"320222","320210"
"320223","320210"
"320224","320210"
"320225","320210"
"320226","320210"
"320227","320210"
"320228","320210"
"320229","320210"
"320232","320230"
"320233","320230"
"320234","320230"
"320235","320230"
"320236","320230"
"320237","320230"
"320238","320230"
"320239","320230"
"320240","320230"
"320241","320230"
"320242","320230"
"320243","320230"
"320244","320230"
"320245","320230"
"320246","320230"
"320247","320230"
"320248","320230"
"320249","320230"
"320250","320230"
"320251","320230"
"320252","320230"
"320255","320253"
"320256","320253"
"320257","320253"
"320258","320253"
"320259","320253"
"320260","320253"
"320261","320253"
"320262","320253"
"320263","320253"
"320264","320253"
"320265","320253"
"320266","320253"
"320267","320253"
"320268","320253"
"320269","320253"
"320270","320253"
"320271","320253"
"320272","320253"
"320273","320253"
"320274","320253"
"320277","320275"
"320278","320275"
"320279","320275"
"320280","320275"
"320281","320275"
"320282","320275"
"320283","320275"
"320284","320275"
"320285","320275"
"320286","320275"
"320287","320275"
"320288","320275"
"320289","320275"
"320290","320275"
"320291","320275"
"320292","320275"
"320293","320275"
"320294","320275"
"320295","320275"
"320296","320275"
"320297","320275"
"320300","320298"
"320301","320298"
"320302","320298"
"320303","320298"
"320304","320298"
"320305","320298"
"320306","320298"
"320309","320307"
"320310","320307"
"320311","320307"
"320312","320307"
"320315","320313"
"320316","320313"
"320317","320313"
"320318","320313"
"320319","320313"
"320320","320313"
"320321","320313"
"320322","320313"
"320323","320313"
"320324","320313"
"320325","320313"
"320326","320313"
"320327","320313"
"320328","320313"
"320329","320313"
"320330","320313"
"320331","320313"
"320334","320332"
"320335","320332"
"320336","320332"
"320337","320332"
"320338","320332"
"320339","320332"
"320340","320332"
"320341","320332"
"320342","320332"
"320343","320332"
"320344","320332"
"320345","320332"
"320346","320332"
"320347","320332"
"320348","320332"
"320349","320332"
"320350","320332"
"320351","320332"
"320356","320353"
"320380","320357"
"320381","320357"
"320383","320382"
"320385","320384"
"320386","320384"
"320387","320384"
"320389","320388"
"320391","320390"
"320393","320392"
