"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"10817","325198","325173","","","","","","","","","",""
"10820","325198","325186","","","","","","","","","",""
"10803","325198","325096","","","","","","","","","",""
"10815","325198","325164","","","","","","","","","",""
"10814","325198","325161","","","","","","","","","",""
"10805","325198","325107","","","","","","","","","",""
"10816","325198","325169","","","","","","","","","",""
"10801","325198","325061","","","","","","","","","",""
"10806","325198","325114","","","","","","","","","",""
"10809","325198","325133","","","","","","","","","",""
"10813","325198","325157","","","","","","","","","",""
"10821","325198","325190","","","","","","","","","",""
"10799","325198","325037","","","","","","","","","",""
"10818","325198","325177","","","","","","","","","",""
"10808","325198","325129","","","","","","","","","",""
"10802","325198","325075","","","","","","","","","",""
"10811","325198","325148","","","","","","","","","",""
"10800","325198","325046","","","","","","","","","",""
"10822","325198","325194","","","","","","","","","",""
"10810","325198","325138","","","","","","","","","",""
"10812","325198","325153","","","","","","","","","",""
"10807","325198","325119","","","","","","","","","",""
"10831","325287","325263","","","","","","","","","",""
"10823","325287","325199","","","","","","","","","",""
"10829","325287","325248","","","","","","","","","",""
"10830","325287","325252","","","","","","","","","",""
"10825","325287","325208","","","","","","","","","",""
"10826","325287","325219","","","","","","","","","",""
"10824","325287","325203","","","","","","","","","",""
"10832","325287","325276","","","","","","","","","",""
"10828","325287","325236","","","","","","","","","",""
"10827","325287","325224","","","","","","","","","",""
"10837","325430","325360","","","","","","","","","",""
"10835","325430","325323","","","","","","","","","",""
"10839","325430","325396","","","","","","","","","",""
"10840","325430","325413","","","","","","","","","",""
"10838","325430","325378","","","","","","","","","",""
"10834","325430","325305","","","","","","","","","",""
"10836","325430","325341","","","","","","","","","",""
"10833","325430","325288","","","","","","","","","",""
"10841","325524","325431","","","","","","","","","",""
"10844","325524","325460","","","","","","","","","",""
"10845","325524","325479","","","","","","","","","",""
"10842","325524","325439","","","","","","","","","",""
"10846","325524","325502","","","","","","","","","",""
"10843","325524","325449","","","","","","","","","",""
"10857","325658","325641","","","","","","","","","",""
"10852","325658","325572","","","","","","","","","",""
"10856","325658","325624","","","","","","","","","",""
"10851","325658","325559","","","","","","","","","",""
"10854","325658","325598","","","","","","","","","",""
"10850","325658","325549","","","","","","","","","",""
"10849","325658","325541","","","","","","","","","",""
"10847","325658","325525","","","","","","","","","",""
"10855","325658","325609","","","","","","","","","",""
"10848","325658","325533","","","","","","","","","",""
"10853","325658","325580","","","","","","","","","",""
"10867","325871","325739","","","","","","","","","",""
"10874","325871","325788","","","","","","","","","",""
"10866","325871","325732","","","","","","","","","",""
